Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Rashaad Penny ,PHI,RB,2.0,10,65,6.5,370,37.0,5.69,58,14.6,8,0.8,3,0.3,8,0.8,11,1.1,83,8.3,10.38,1,0.1,73,7.3,76,7.6,1,0.1,0.01,0.96,67.3,6.73,3.35,8.44,6.38,7,0,1,0,2,0.43,0.29,5.23,71.3,7.13,3.8,8.85,6.77,7,0,1,1,1,0.43,0.29,5.6,75.3,7.53,4.05,9.3,7.27,7,0,1,1,1,0.43,0.29,5.92
Gus Edwards ,BAL,RB,1.0,16,133,8.31,711,44.44,5.35,63,16.94,9,0.56,2,0.12,7,0.44,7,0.44,45,2.81,6.43,0,0.0,140,8.75,140,8.75,1,0.06,0.01,1.0,85.6,5.35,3.55,4.22,6.03,11,3,1,1,0,0.14,0.09,5.28,89.1,5.57,3.8,4.26,6.35,11,3,1,1,0,0.14,0.09,5.54,92.6,5.79,4.05,4.31,6.77,11,3,1,1,0,0.14,0.09,5.84
Brian Hill ,FA,RB,42.0,12,78,6.5,323,26.92,4.14,27,11.42,2,0.17,2,0.17,10,0.83,14,1.17,69,5.75,6.9,1,0.08,88,7.33,92,7.67,0,0.0,0.0,1.0,57.2,4.77,3.2,4.46,5.3,8,2,2,0,0,0.2,0.0,4.69,62.2,5.18,4.25,4.44,5.85,9,1,2,0,0,0.2,0.0,5.41,67.2,5.6,5.25,4.49,6.48,9,1,2,0,0,0.2,0.0,6.15
Mark Walton ,FA,RB,28.0,7,53,7.57,201,28.71,3.79,19,10.57,0,0.0,0,0.0,15,2.14,21,3.0,89,12.71,5.93,0,0.0,68,9.71,74,10.57,1,0.14,0.01,0.84,27.0,3.86,3.4,2.34,5.03,6,1,0,0,0,0.0,0.0,4.06,34.5,4.93,4.9,3.02,6.12,6,1,0,0,0,0.0,0.0,5.04,42.0,6.0,6.4,3.76,7.26,6,0,1,0,0,0.17,0.0,6.1
Jalen Richard ,FA,RB,52.0,16,39,2.44,145,9.06,3.72,13,6.19,0,0.0,0,0.0,36,2.25,43,2.69,323,20.19,8.97,0,0.0,75,4.69,82,5.12,0,0.0,0.0,1.0,46.8,2.92,2.9,2.04,3.95,15,1,0,0,0,0.0,0.0,3.6,64.8,4.05,4.3,2.57,5.24,14,2,0,0,0,0.0,0.0,4.8,82.8,5.18,5.4,3.18,6.53,13,3,0,0,0,0.0,0.0,5.88
Tony Pollard ,DAL,RB,2.0,15,86,5.73,455,30.33,5.29,44,10.47,7,0.47,2,0.13,15,1.0,20,1.33,107,7.13,7.13,1,0.07,101,6.73,106,7.07,1,0.07,0.01,1.0,74.2,4.95,2.5,6.93,4.92,11,1,0,1,2,0.25,0.27,4.24,81.7,5.45,2.8,7.45,5.4,11,1,0,1,2,0.25,0.27,4.59,89.2,5.95,2.8,7.99,5.96,12,0,0,2,1,0.25,0.25,4.84
J.D. McKissic ,FA,RB,55.0,16,38,2.38,205,12.81,5.39,44,8.38,4,0.25,0,0.0,34,2.12,42,2.62,233,14.56,6.85,1,0.06,72,4.5,80,5.0,0,0.0,0.0,1.0,49.8,3.11,2.2,3.37,3.71,14,1,1,0,0,0.07,0.0,3.19,66.8,4.18,3.6,3.71,4.92,13,2,1,0,0,0.07,0.0,4.37,83.8,5.24,4.4,4.18,6.17,12,3,1,0,0,0.07,0.0,5.29
Chase Edmonds ,TB,RB,1.0,13,60,4.62,303,23.31,5.05,37,8.54,5,0.38,4,0.31,12,0.92,21,1.62,105,8.08,8.75,1,0.08,72,5.54,81,6.23,0,0.0,0.0,1.0,70.8,5.45,1.3,9.59,5.0,10,0,1,1,1,0.3,0.2,3.66,76.8,5.91,2.3,9.94,5.45,10,0,1,1,1,0.3,0.2,4.31,82.8,6.37,3.3,10.31,5.99,10,0,1,1,1,0.3,0.2,5.0
Giovani Bernard ,FA,RB,44.0,16,53,3.31,170,10.62,3.21,25,8.06,1,0.06,0,0.0,30,1.88,43,2.69,234,14.62,7.8,0,0.0,83,5.19,96,6.0,1,0.06,0.01,1.0,38.4,2.4,2.15,1.96,3.28,15,1,0,0,0,0.0,0.0,3.04,53.4,3.34,3.65,2.14,4.52,15,1,0,0,0,0.0,0.0,4.28,68.4,4.28,5.0,2.4,5.79,15,1,0,0,0,0.0,0.0,5.45
Kalen Ballage ,FA,RB,38.0,12,74,6.17,135,11.25,1.82,8,5.08,0,0.0,3,0.25,14,1.17,24,2.0,63,5.25,4.5,0,0.0,88,7.33,98,8.17,0,0.0,0.0,1.0,37.8,3.15,2.25,2.61,4.0,9,3,0,0,0,0.0,0.0,3.63,44.8,3.73,2.75,3.08,4.61,11,1,0,0,0,0.0,0.0,4.13,51.8,4.32,3.25,3.67,5.25,10,1,1,0,0,0.09,0.0,4.69
Ito Smith ,FA,RB,51.0,7,22,3.14,106,15.14,4.82,28,10.71,1,0.14,1,0.14,11,1.57,14,2.0,87,12.43,7.91,0,0.0,33,4.71,36,5.14,0,0.0,0.0,0.84,25.3,3.61,4.0,3.4,4.3,5,2,0,0,0,0.0,0.0,3.56,30.8,4.4,4.5,4.21,5.03,5,2,0,0,0,0.0,0.0,4.02,36.3,5.19,5.0,5.11,5.81,5,1,1,0,0,0.17,0.0,4.57
Dare Ogunbowale ,HOU,RB,2.0,16,11,0.69,17,1.06,1.55,12,1.44,0,0.0,2,0.12,35,2.19,46,2.88,286,17.88,8.17,0,0.0,46,2.88,57,3.56,1,0.06,0.02,1.0,40.3,2.52,1.95,2.32,3.3,14,2,0,0,0,0.0,0.0,2.72,57.8,3.61,3.2,2.61,4.65,14,2,0,0,0,0.0,0.0,3.89,75.3,4.71,4.45,3.04,6.01,14,2,0,0,0,0.0,0.0,5.06
Darrel Williams ,FA,RB,53.0,12,41,3.42,141,11.75,3.44,41,7.08,3,0.25,3,0.25,15,1.25,20,1.67,167,13.92,11.13,1,0.08,56,4.67,61,5.08,1,0.08,0.02,1.0,52.8,4.4,1.25,5.43,4.66,8,1,2,1,0,0.33,0.12,3.36,60.3,5.02,1.8,6.05,5.25,8,1,2,1,0,0.33,0.12,3.88,67.8,5.65,2.55,6.7,5.92,8,1,2,1,0,0.33,0.12,4.52
Dion Lewis ,FA,RB,48.0,16,54,3.38,210,13.12,3.89,17,5.75,0,0.0,0,0.0,25,1.56,32,2.0,164,10.25,6.56,1,0.06,79,4.94,86,5.38,1,0.06,0.01,1.0,41.4,2.59,1.95,2.61,3.29,14,2,0,0,0,0.0,0.0,2.89,53.9,3.37,3.1,2.77,4.28,14,2,0,0,0,0.0,0.0,3.86,66.4,4.15,4.2,3.09,5.27,13,3,0,0,0,0.0,0.0,4.8
Benny Snell Jr. ,FA,RB,37.0,13,108,8.31,426,32.77,3.94,23,9.54,3,0.23,2,0.15,3,0.23,4,0.31,23,1.77,7.67,0,0.0,111,8.54,112,8.62,1,0.08,0.01,1.0,54.9,4.22,1.4,5.45,4.46,9,1,2,1,0,0.3,0.11,3.68,56.4,4.34,1.4,5.6,4.62,9,1,2,1,0,0.3,0.11,3.75,57.9,4.45,1.4,5.75,4.85,9,2,2,0,0,0.18,0.0,3.76
Malcolm Brown ,FA,RB,49.0,14,69,4.93,255,18.21,3.7,17,7.71,0,0.0,5,0.36,2,0.14,6,0.43,16,1.14,8.0,0,0.0,71,5.07,75,5.36,0,0.0,0.0,1.0,57.1,4.08,2.2,4.99,4.41,10,3,0,1,0,0.08,0.1,3.57,58.1,4.15,2.2,5.04,4.53,10,3,0,1,0,0.08,0.1,3.63,59.1,4.22,2.2,5.09,4.74,11,2,0,1,0,0.08,0.09,3.72
T.J. Yeldon ,FA,RB,50.0,6,17,2.83,63,10.5,3.71,12,5.5,0,0.0,0,0.0,13,2.17,15,2.5,124,20.67,9.54,0,0.0,30,5.0,32,5.33,1,0.17,0.03,0.78,16.7,2.78,2.85,2.59,3.54,5,1,0,0,0,0.0,0.0,2.67,23.2,3.87,4.35,3.42,4.65,5,1,0,0,0,0.0,0.0,3.59,29.7,4.95,5.85,4.28,5.8,5,1,0,0,0,0.0,0.0,4.52
Qadree Ollison ,JAC,RB,1.0,8,22,2.75,50,6.25,2.27,6,2.62,0,0.0,4,0.5,1,0.12,2,0.25,7,0.88,7.0,0,0.0,23,2.88,24,3.0,0,0.0,0.0,0.88,29.7,3.71,3.5,3.66,4.33,4,4,0,0,0,0.0,0.0,3.38,30.2,3.78,3.5,3.76,4.44,6,2,0,0,0,0.0,0.0,3.42,30.7,3.84,3.5,3.87,4.61,7,1,0,0,0,0.0,0.0,3.49
Patrick Laird ,TB,RB,2.0,15,62,4.13,168,11.2,2.71,18,4.8,0,0.0,1,0.07,23,1.53,30,2.0,204,13.6,8.87,0,0.0,85,5.67,92,6.13,0,0.0,0.0,1.0,45.2,3.01,1.8,3.99,3.44,12,2,1,0,0,0.07,0.0,3.01,56.7,3.78,2.0,4.87,4.16,11,3,1,0,0,0.07,0.0,3.42,68.2,4.55,2.0,5.8,4.94,11,2,1,1,0,0.15,0.09,3.83
Ty Johnson ,NYJ,RB,1.0,16,63,3.94,273,17.06,4.33,40,8.88,3,0.19,0,0.0,24,1.5,31,1.94,109,6.81,4.54,0,0.0,87,5.44,94,5.88,1,0.06,0.01,1.0,36.2,2.26,1.95,1.96,3.09,15,1,0,0,0,0.0,0.0,2.85,48.2,3.01,2.2,2.21,4.05,15,1,0,0,0,0.0,0.0,3.4,60.2,3.76,3.45,2.62,4.98,15,1,0,0,0,0.0,0.0,4.38
Justin Jackson ,FA,RB,46.0,7,29,4.14,200,28.57,6.9,40,15.71,5,0.71,0,0.0,9,1.29,11,1.57,22,3.14,2.44,0,0.0,38,5.43,40,5.71,0,0.0,0.0,0.84,22.2,3.17,2.5,2.2,4.2,5,2,0,0,0,0.0,0.0,3.0,26.7,3.81,2.7,2.33,5.05,7,0,0,0,0,0.0,0.0,3.4,31.2,4.46,3.7,2.65,5.89,7,0,0,0,0,0.0,0.0,4.09
Kyle Juszczyk ,SF,RB,2.0,12,3,0.25,7,0.58,2.33,6,0.67,0,0.0,0,0.0,20,1.67,24,2.0,239,19.92,11.95,1,0.08,23,1.92,27,2.25,0,0.0,0.0,1.0,30.6,2.55,2.1,2.56,3.26,10,2,0,0,0,0.0,0.0,2.64,40.6,3.38,2.9,3.35,4.09,10,2,0,0,0,0.0,0.0,3.37,50.6,4.22,3.65,4.24,4.95,9,2,1,0,0,0.09,0.0,4.14
Jordan Wilkins ,FA,RB,58.0,14,51,3.64,307,21.93,6.02,55,11.43,6,0.43,2,0.14,7,0.5,11,0.79,43,3.07,6.14,0,0.0,58,4.14,62,4.43,0,0.0,0.0,1.0,47.0,3.36,1.75,4.28,3.77,11,2,0,1,0,0.08,0.09,2.99,50.5,3.61,2.0,4.37,4.08,11,2,1,0,0,0.08,0.0,3.22,54.0,3.86,2.35,4.49,4.46,11,2,1,0,0,0.08,0.0,3.55
Myles Gaskin ,MIA,RB,2.0,7,36,5.14,133,19.0,3.69,27,9.0,1,0.14,1,0.14,7,1.0,12,1.71,51,7.29,7.29,0,0.0,43,6.14,48,6.86,0,0.0,0.0,0.84,24.4,3.49,1.7,4.41,3.88,5,1,1,0,0,0.17,0.0,2.75,27.9,3.99,2.2,4.56,4.47,5,1,1,0,0,0.17,0.0,3.15,31.4,4.49,2.7,4.71,5.13,5,1,1,0,0,0.17,0.0,3.59
Jeff Wilson Jr. ,MIA,RB,3.0,11,27,2.45,105,9.55,3.89,25,4.91,1,0.09,4,0.36,3,0.27,5,0.45,34,3.09,11.33,1,0.09,30,2.73,32,2.91,0,0.0,0.0,1.0,43.9,3.99,0.7,5.8,4.15,8,1,0,2,0,0.22,0.25,2.65,45.4,4.13,1.2,5.79,4.36,8,1,1,1,0,0.22,0.12,2.93,46.9,4.26,1.7,5.78,4.63,8,1,2,0,0,0.22,0.0,3.25
Wayne Gallman Jr. ,FA,RB,56.5,10,29,2.9,110,11.0,3.79,22,5.7,1,0.1,2,0.2,11,1.1,16,1.6,102,10.2,9.27,1,0.1,40,4.0,45,4.5,1,0.1,0.02,0.96,37.2,3.72,0.9,7.05,3.69,8,0,1,0,1,0.25,0.12,2.58,42.7,4.27,1.15,8.02,4.15,8,0,1,0,1,0.25,0.12,2.89,48.2,4.82,1.35,8.99,4.69,8,0,1,0,1,0.25,0.12,3.21
Justice Hill ,BAL,RB,2.0,16,58,3.62,225,14.06,3.88,18,7.62,0,0.0,2,0.12,8,0.5,15,0.94,70,4.38,8.75,0,0.0,66,4.12,73,4.56,0,0.0,0.0,1.0,41.5,2.59,1.45,3.42,3.08,14,0,2,0,0,0.14,0.0,2.57,45.5,2.84,1.7,3.74,3.35,14,0,2,0,0,0.14,0.0,2.8,49.5,3.09,1.95,4.08,3.67,14,1,1,0,0,0.07,0.0,3.02
Spencer Ware ,FA,RB,39.5,3,17,5.67,51,17.0,3.0,6,5.33,0,0.0,0,0.0,5,1.67,7,2.33,22,7.33,4.4,0,0.0,22,7.33,24,8.0,0,0.0,0.0,0.56,7.3,2.43,3.5,1.93,3.33,3,0,0,0,0,0.0,0.0,2.16,9.8,3.27,4.5,2.22,4.38,3,0,0,0,0,0.0,0.0,2.68,12.3,4.1,5.5,2.51,5.49,3,0,0,0,0,0.0,0.0,3.2
C.J. Prosise ,FA,RB,60.0,9,23,2.56,72,8.0,3.13,17,6.22,0,0.0,1,0.11,10,1.11,12,1.33,76,8.44,7.6,0,0.0,33,3.67,35,3.89,1,0.11,0.03,0.93,18.8,2.09,1.7,2.1,2.8,8,1,0,0,0,0.0,0.0,2.24,23.8,2.64,1.7,2.53,3.43,9,0,0,0,0,0.0,0.0,2.5,28.8,3.2,1.7,3.14,4.05,8,1,0,0,0,0.0,0.0,2.76
Jonathan Williams ,WAS,RB,1.0,9,49,5.44,235,26.11,4.8,48,8.33,3,0.33,1,0.11,5,0.56,5,0.56,59,6.56,11.8,0,0.0,54,6.0,54,6.0,0,0.0,0.0,0.93,35.4,3.93,0.0,7.17,3.88,7,0,0,1,1,0.29,0.29,2.37,37.9,4.21,0.0,7.62,4.15,7,0,0,2,0,0.29,0.29,2.48,40.4,4.49,0.0,8.08,4.49,7,0,1,1,0,0.29,0.14,2.59
Bilal Powell ,FA,RB,54.0,14,59,4.21,229,16.36,3.88,17,7.0,0,0.0,0,0.0,7,0.5,12,0.86,33,2.36,4.71,0,0.0,66,4.71,71,5.07,0,0.0,0.0,1.0,26.2,1.87,1.3,2.36,2.44,13,1,0,0,0,0.0,0.0,2.19,29.7,2.12,1.4,2.63,2.73,13,1,0,0,0,0.0,0.0,2.36,33.2,2.37,1.55,2.92,3.06,13,1,0,0,0,0.0,0.0,2.58
Jon Hilliman ,FA,RB,24.0,3,30,10.0,91,30.33,3.03,10,7.67,0,0.0,0,0.0,3,1.0,4,1.33,1,0.33,0.33,0,0.0,33,11.0,34,11.33,2,0.67,0.06,0.56,5.2,1.73,1.5,0.59,3.2,3,0,0,0,0,0.0,0.0,1.81,6.7,2.23,2.5,0.83,3.83,3,0,0,0,0,0.0,0.0,2.22,8.2,2.73,3.4,1.24,4.36,3,0,0,0,0,0.0,0.0,2.58
Marshawn Lynch ,FA,RB,44.0,2,12,6.0,34,17.0,2.83,15,7.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0.0,0,0.0,12,6.0,12,6.0,0,0.0,0.0,0.44,9.4,4.7,4.7,6.65,4.73,1,1,0,0,0,0.0,0.0,2.14,9.4,4.7,4.7,6.65,4.79,1,1,0,0,0,0.0,0.0,2.15,9.4,4.7,4.7,6.65,4.93,1,1,0,0,0,0.0,0.0,2.18
Brandon Bolden ,LV,RB,3.0,15,15,1.0,68,4.53,4.53,21,4.2,1,0.07,3,0.2,9,0.6,11,0.73,111,7.4,12.33,1,0.07,24,1.6,26,1.73,0,0.0,0.0,1.0,41.9,2.79,0.7,3.87,3.22,11,2,2,0,0,0.15,0.0,2.01,46.4,3.09,0.7,4.14,3.55,12,2,1,0,0,0.07,0.0,2.12,50.9,3.39,0.7,4.48,3.93,12,2,1,0,0,0.07,0.0,2.29
Darwin Thompson ,SEA,RB,1.0,12,37,3.08,128,10.67,3.46,12,4.0,0,0.0,1,0.08,9,0.75,10,0.83,43,3.58,4.78,0,0.0,46,3.83,47,3.92,0,0.0,0.0,1.0,23.1,1.92,0.75,3.05,2.35,11,0,1,0,0,0.09,0.0,1.83,27.6,2.3,1.0,3.19,2.82,11,1,0,0,0,0.0,0.0,2.11,32.1,2.68,1.35,3.42,3.32,10,2,0,0,0,0.0,0.0,2.49
Ryquell Armstead ,FA,RB,61.0,16,35,2.19,108,6.75,3.09,16,3.62,0,0.0,0,0.0,14,0.88,24,1.5,144,9.0,10.29,2,0.12,49,3.06,59,3.69,0,0.0,0.0,1.0,37.2,2.33,0.45,4.4,2.59,13,1,1,1,0,0.14,0.08,1.83,44.2,2.76,0.5,5.09,3.01,13,1,1,1,0,0.14,0.08,2.04,51.2,3.2,0.5,5.83,3.47,13,2,0,1,0,0.07,0.08,2.21
Kerrith Whyte Jr. ,FA,RB,59.0,6,24,4.0,122,20.33,5.08,21,9.0,1,0.17,0,0.0,1,0.17,1,0.17,9,1.5,9.0,0,0.0,25,4.17,25,4.17,0,0.0,0.0,0.78,13.1,2.18,1.6,2.05,2.95,6,0,0,0,0,0.0,0.0,1.93,13.6,2.27,1.6,2.19,3.05,6,0,0,0,0,0.0,0.0,1.96,14.1,2.35,1.6,2.34,3.2,6,0,0,0,0,0.0,0.0,2.02
Mike Boone ,HOU,RB,3.0,16,49,3.06,273,17.06,5.57,59,6.5,8,0.5,3,0.19,3,0.19,4,0.25,17,1.06,5.67,0,0.0,52,3.25,53,3.31,0,0.0,0.0,1.0,47.0,2.94,0.0,6.71,2.95,14,0,0,1,1,0.14,0.14,1.76,48.5,3.03,0.0,6.91,3.06,14,0,0,1,1,0.14,0.14,1.82,50.0,3.12,0.0,7.11,3.23,14,0,0,1,1,0.14,0.14,1.89
Ty Montgomery ,NE,RB,1.0,16,32,2.0,103,6.44,3.22,15,4.38,0,0.0,0,0.0,13,0.81,17,1.06,90,5.62,6.92,0,0.0,45,2.81,49,3.06,0,0.0,0.0,1.0,19.3,1.21,0.8,1.69,1.71,15,1,0,0,0,0.0,0.0,1.44,25.8,1.61,1.0,2.2,2.17,15,1,0,0,0,0.0,0.0,1.73,32.3,2.02,1.0,2.74,2.64,15,1,0,0,0,0.0,0.0,1.95
Ameer Abdullah ,LV,RB,2.0,16,23,1.44,115,7.19,5.0,15,4.12,0,0.0,0,0.0,15,0.94,21,1.31,88,5.5,5.87,1,0.06,38,2.38,44,2.75,1,0.06,0.03,1.0,24.3,1.52,0.2,2.39,1.97,15,1,0,0,0,0.0,0.0,1.25,31.8,1.99,0.65,2.93,2.49,14,2,0,0,0,0.0,0.0,1.69,39.3,2.46,1.0,3.58,3.01,14,2,0,0,0,0.0,0.0,2.08
C.J. Ham ,MIN,RB,3.0,16,7,0.44,17,1.06,2.43,9,1.06,0,0.0,0,0.0,17,1.06,26,1.62,149,9.31,8.76,1,0.06,24,1.5,33,2.06,1,0.06,0.04,1.0,20.6,1.29,0.5,1.99,1.75,15,1,0,0,0,0.0,0.0,1.22,29.1,1.82,0.8,2.23,2.44,15,1,0,0,0,0.0,0.0,1.66,37.6,2.35,1.3,2.56,3.13,15,1,0,0,0,0.0,0.0,2.2
Tra Carson ,FA,RB,47.0,4,18,4.5,48,12.0,2.67,12,4.75,0,0.0,0,0.0,4,1.0,4,1.0,18,4.5,4.5,0,0.0,22,5.5,22,5.5,0,0.0,0.0,0.65,6.6,1.65,1.6,1.91,2.27,4,0,0,0,0,0.0,0.0,1.48,8.6,2.15,1.7,2.59,2.77,4,0,0,0,0,0.0,0.0,1.66,10.6,2.65,1.7,3.43,3.28,4,0,0,0,0,0.0,0.0,1.81
Darren Sproles ,FA,RB,56.5,6,17,2.83,66,11.0,3.88,17,5.5,0,0.0,0,0.0,6,1.0,10,1.67,24,4.0,4.0,0,0.0,23,3.83,27,4.5,0,0.0,0.0,0.78,11.0,1.83,0.45,3.18,2.22,5,1,0,0,0,0.0,0.0,1.29,14.0,2.33,0.95,3.7,2.75,5,1,0,0,0,0.0,0.0,1.66,17.0,2.83,1.2,4.25,3.33,5,1,0,0,0,0.0,0.0,1.95
Wendell Smallwood ,FA,RB,68.0,15,22,1.47,81,5.4,3.68,17,4.07,0,0.0,0,0.0,9,0.6,13,0.87,64,4.27,7.11,0,0.0,31,2.07,35,2.33,0,0.0,0.0,1.0,14.5,0.97,0.4,1.19,1.5,15,0,0,0,0,0.0,0.0,1.09,19.0,1.27,0.8,1.34,1.93,15,0,0,0,0,0.0,0.0,1.46,23.5,1.57,1.3,1.56,2.36,15,0,0,0,0,0.0,0.0,1.88
Dontrell Hilliard ,FA,RB,69.0,14,13,0.93,49,3.5,3.77,11,2.07,0,0.0,2,0.14,12,0.86,15,1.07,92,6.57,7.67,0,0.0,25,1.79,28,2.0,0,0.0,0.0,1.0,26.1,1.86,0.0,3.49,2.2,12,1,1,0,0,0.08,0.0,1.23,32.1,2.29,0.0,3.84,2.68,12,1,1,0,0,0.08,0.0,1.44,38.1,2.72,0.0,4.25,3.19,12,1,1,0,0,0.08,0.0,1.68
C.J. Anderson ,FA,RB,39.5,2,16,8.0,43,21.5,2.69,9,8.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,16,8.0,16,8.0,0,0.0,0.0,0.44,4.3,2.15,2.15,1.91,2.95,2,0,0,0,0,0.0,0.0,1.37,4.3,2.15,2.15,1.91,2.99,2,0,0,0,0,0.0,0.0,1.38,4.3,2.15,2.15,1.91,3.08,2,0,0,0,0,0.0,0.0,1.39
Darrell Henderson Jr. ,FA,RB,62.0,13,39,3.0,147,11.31,3.77,22,5.31,1,0.08,0,0.0,4,0.31,6,0.46,37,2.85,9.25,0,0.0,43,3.31,45,3.46,0,0.0,0.0,1.0,18.4,1.42,0.0,2.3,1.86,12,1,0,0,0,0.0,0.0,1.18,20.4,1.57,0.0,2.6,2.02,12,1,0,0,0,0.0,0.0,1.26,22.4,1.72,0.0,2.91,2.22,12,1,0,0,0,0.0,0.0,1.35
Reggie Bonnafon ,FA,RB,71.0,16,16,1.0,116,7.25,7.25,59,5.38,4,0.25,1,0.06,6,0.38,10,0.62,57,3.56,9.5,0,0.0,22,1.38,26,1.62,0,0.0,0.0,1.0,23.3,1.46,0.25,3.51,1.72,15,0,0,1,0,0.07,0.07,1.1,26.3,1.64,0.25,3.56,1.96,15,0,1,0,0,0.07,0.0,1.19,29.3,1.83,0.25,3.64,2.23,15,0,1,0,0,0.07,0.0,1.31
Andy Janovich ,FA,RB,86.5,8,1,0.12,1,0.12,1.0,1,0.12,0,0.0,1,0.12,5,0.62,5,0.62,42,5.25,8.4,0,0.0,6,0.75,6,0.75,0,0.0,0.0,0.88,10.3,1.29,0.4,2.2,1.71,7,1,0,0,0,0.0,0.0,0.9,12.8,1.6,0.65,2.38,2.11,8,0,0,0,0,0.0,0.0,1.16,15.3,1.91,0.9,2.6,2.54,8,0,0,0,0,0.0,0.0,1.43
Trey Edmunds ,FA,RB,67.0,12,22,1.83,92,7.67,4.18,45,5.17,3,0.25,0,0.0,6,0.5,7,0.58,48,4.0,8.0,0,0.0,28,2.33,29,2.42,0,0.0,0.0,1.0,14.0,1.17,0.0,2.23,1.54,11,1,0,0,0,0.0,0.0,0.94,17.0,1.42,0.0,2.44,1.86,11,1,0,0,0,0.0,0.0,1.08,20.0,1.67,0.0,2.73,2.19,12,0,0,0,0,0.0,0.0,1.23
Paul Perkins ,FA,RB,63.0,4,12,3.0,29,7.25,2.42,13,4.5,0,0.0,0,0.0,1,0.25,1,0.25,9,2.25,9.0,0,0.0,13,3.25,13,3.25,0,0.0,0.0,0.65,3.8,0.95,1.0,0.89,1.58,4,0,0,0,0,0.0,0.0,0.96,4.3,1.08,1.0,1.06,1.73,4,0,0,0,0,0.0,0.0,1.01,4.8,1.2,1.0,1.26,1.91,4,0,0,0,0,0.0,0.0,1.06
Travis Homer ,CHI,RB,1.0,16,18,1.12,114,7.12,6.33,29,4.0,1,0.06,0,0.0,11,0.69,13,0.81,56,3.5,5.09,0,0.0,29,1.81,31,1.94,0,0.0,0.0,1.0,17.0,1.06,0.0,2.49,1.37,15,1,0,0,0,0.0,0.0,0.81,22.5,1.41,0.0,3.33,1.7,14,1,1,0,0,0.07,0.0,0.99,28.0,1.75,0.0,4.21,2.06,14,1,1,0,0,0.07,0.0,1.15
Dalyn Dawkins ,FA,RB,44.0,2,11,5.5,26,13.0,2.36,14,7.5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0.0,0,0.0,11,5.5,12,6.0,0,0.0,0.0,0.44,2.6,1.3,1.3,1.56,1.88,2,0,0,0,0,0.0,0.0,0.9,2.6,1.3,1.3,1.56,1.91,2,0,0,0,0,0.0,0.0,0.9,2.6,1.3,1.3,1.56,1.96,2,0,0,0,0,0.0,0.0,0.91
Jay Ajayi ,FA,RB,64.0,4,10,2.5,30,7.5,3.0,11,5.5,0,0.0,0,0.0,0,0.0,1,0.25,0,0.0,0.0,0,0.0,10,2.5,11,2.75,0,0.0,0.0,0.65,3.0,0.75,0.7,0.68,1.34,4,0,0,0,0,0.0,0.0,0.77,3.0,0.75,0.7,0.68,1.35,4,0,0,0,0,0.0,0.0,0.78,3.0,0.75,0.7,0.68,1.39,4,0,0,0,0,0.0,0.0,0.79
Zach Line ,FA,RB,73.0,12,7,0.58,20,1.67,2.86,5,1.25,0,0.0,0,0.0,6,0.5,10,0.83,36,3.0,6.0,0,0.0,13,1.08,17,1.42,0,0.0,0.0,1.0,5.6,0.47,0.15,0.66,0.84,12,0,0,0,0,0.0,0.0,0.59,8.6,0.72,0.2,0.9,1.2,12,0,0,0,0,0.0,0.0,0.77,11.6,0.97,0.2,1.19,1.56,12,0,0,0,0,0.0,0.0,0.93
Cordarrelle Patterson ,ATL,RB,1.0,16,17,1.06,103,6.44,6.06,46,5.94,3,0.19,0,0.0,11,0.69,17,1.06,83,5.19,7.55,0,0.0,28,1.75,34,2.12,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16,0,0,0,0,0.0,0.0,0.21,5.5,0.34,0.5,0.35,0.73,16,0,0,0,0,0.0,0.0,0.77,11.0,0.69,1.0,0.7,1.26,16,0,0,0,0,0.0,0.0,1.23
Khari Blasingame ,CHI,RB,2.0,6,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,4,0.67,5,0.83,54,9.0,13.5,0,0.0,4,0.67,5,0.83,0,0.0,0.0,0.78,5.4,0.9,0.0,1.88,1.24,6,0,0,0,0,0.0,0.0,0.5,7.4,1.23,0.25,2.24,1.65,6,0,0,0,0,0.0,0.0,0.74,9.4,1.57,0.5,2.61,2.08,6,0,0,0,0,0.0,0.0,0.97
